ModelYear,MfrName,Division,Carline,VerifyMfrCd,International,EngDispl,Cyl,Transmission,CityFE,HwyFE,CombFE,CityUnadjFE,HwyUnadjFE,CombUnadjFE-ConventionalFuel,CityUnrdAdjFE-ConventionalFuel,HwyUnrdAdjFE-ConventionalFuel,CombUnrdAdjFE-ConventionalFuel,Guzzler,AirAspirationMethod,Transmission,Gears,LockupTorqueConverter,TransCreeperGear,DriveSys,DriveDesc,MaxEthanolPercentGasoline,MaxBiodieselPercent,FuelUsage-ConventionalFuel,FuelUsageDesc-ConventionalFuel,AnnualFuel1Cost-ConventionalFuel,IntakeValvesPerCyl,ExhaustValvesPerCyl,CarlineClass,CarlineClassDesc,ReleaseDate,FuelMeteringSysCd,FuelMeteringSysDesc,StopStartSystem,MFRCalculatedGasGuzzlerMPG,FERating,GHGRating,MfrSmogRating,CityCO2,HwyCO2,CombCO2,EstimatedFuelCostin5Years
2019,Kia,KIA MOTORS CORPORATION,Sorento FWD,KMX,International,2.4,4,Auto(S6),22,29,25,28,40.7,32.574,21.9668,28.574,24.518,No,Naturally Aspirated,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1550,2,2,30,Small SUV 2WD,43132,GDI,Spark Ignition Direct Injection,No,,5,5,5,404,312,363,750
2019,Volkswagen Group of,Bugatti,Chiron,VGA,International,8,16,Auto(AM-S7),9,14,11,10.4,18.2,12.885,8.7889,14.1373,10.5921,Guzzler,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,N,A,All Wheel Drive,15,,GPR,Gasoline (Premium Unleaded Required),4100,2,2,1,Two Seaters,43308,MFI,Multipoint/sequential fuel injection,No,13,1,1,1,1010,632,840,13500
2019,aston martin,Aston Martin Lagonda Ltd,Vantage V8,ASX,International,4,8,Auto(S8),18,25,21,23.1719,35.2592,27.3986,18.4652,25.0596,20.9455,No,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),2150,2,2,1,Two Seaters,43252,MFI,Multipoint/sequential fuel injection,No,27,4,4,3,494,364,435,3750
2019,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,HYX,International,1.6,4,Auto(AM7),28,34,30,36.3,49.5,41.25,27.7395,34.0802,30.2742,No,Turbocharged,Automated Manual,7,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43174,GDI,Spark Ignition Direct Injection,No,41.9,7,7,5,323,263,296,-500
2019,Subaru,Subaru,IMPREZA 4-Door,FJX,International,2,4,Manual(M5),24,32,27,30.5,45.4,35.785,23.7377,31.5415,26.7117,No,Naturally Aspirated,Manual,5,N,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1400,2,2,5,Midsize Cars,43252,GDI,Spark Ignition Direct Injection,No,35.8,6,6,6,373,281,331,0
2019,Honda,Honda,FIT,HNX,International,1.5,4,Auto(AV),33,40,36,43.7998,58.3993,49.3517,33,39.8287,36.467,No,Naturally Aspirated,Continuously Variable,1,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1050,2,2,7,Small Station Wagons,43221,GDI,Spark Ignition Direct Injection,No,49.7,8,8,7,267,221,246,-1750
2019,Kia,KIA MOTORS CORPORATION,Sorento AWD,KMX,International,3.3,6,Auto(S8),19,24,21,23.5816,35.6929,27.8313,18.7666,24.0825,20.8363,No,Naturally Aspirated,Semi-Automatic,8,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1800,2,2,31,Small SUV 4WD,43132,GDI,Spark Ignition Direct Injection,No,,4,4,5,475,372,428,2000
2019,Toyota,LEXUS,NX 300h AWD,TYX,International,2.5,4,Auto(AV-S6),33,30,31,43.9739,42.6849,43.3843,32.8164,29.8348,31.4041,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),6,N,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1250,2,2,31,Small SUV 4WD,43254,MFI,Multipoint/sequential fuel injection,Yes,,7,7,7,269,296,281,-750
2019,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,HYX,International,1.6,4,Manual(M6),26,33,29,32.1,47.2,37.4983,26.1663,33.2918,28.9551,No,Turbocharged,Manual,6,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43174,GDI,Spark Ignition Direct Injection,No,38.1,6,6,5,341,268,308,-500
2019,Toyota,TOYOTA,C-HR,TYX,International,2,4,Auto(AV-S7),27,31,29,36,48.8,40.8178,27.0745,31.2658,28.8126,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43242,MFI,Multipoint/sequential fuel injection,No,41.3,6,6,3,324,281,305,-500
2019,Honda,Honda,FIT,HNX,International,1.5,4,Auto(AV-S7),31,36,33,40.7998,52.8496,45.4645,31,36.1329,33,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1150,2,2,7,Small Station Wagons,43221,GDI,Spark Ignition Direct Injection,No,45.8,8,8,7,285,244,267,-1250
2019,Subaru,Subaru,IMPREZA 5-Door,FJX,International,2,4,Manual(M5),24,31,26,30.3,44.4,35.352,23.5971,30.9153,26.4104,No,Naturally Aspirated,Manual,5,N,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1450,2,2,7,Small Station Wagons,43252,GDI,Spark Ignition Direct Injection,No,35.4,5,5,6,375,286,335,250
2019,Kia,KIA MOTORS CORPORATION,Sedona,KMX,International,3.3,6,Auto(S8),18,24,21,23.1958,35.1298,27.3816,18.4828,23.7191,20.5215,No,Naturally Aspirated,Semi-Automatic,8,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1800,2,2,20,"Special Purpose Vehicle, minivan 2WD",43146,GDI,Spark Ignition Direct Injection,No,,4,4,5,485,377,437,2000
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Ghost,RRG,International,6.6,12,Auto(S8),12,18,14,14.1674,25.0399,17.6079,11.6311,18.2188,13.8915,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,6,Large Cars,43312,GDI,Spark Ignition Direct Injection,No,17.7,1,1,3,760,486,637,9000
2019,Hyundai,GENESIS,G70 AWD,HYX,International,3.3,6,Auto(S8),18,25,20,22.1,34.7467,26.4286,17.6728,24.7241,20.2749,No,Turbocharged,Semi-Automatic,8,Y,N,A,All Wheel Drive,15,,GP,Gasoline (Premium Unleaded Recommended),2250,2,2,4,Compact Cars,43160,GDI,Spark Ignition Direct Injection,Yes,26.6,4,4,3,506,363,442,4250
2019,Subaru,Subaru,IMPREZA 4-Door,FJX,International,2,4,Auto(AV-S7),28,38,32,36.4445,55.3594,43.0661,27.8373,37.63,31.5296,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1200,2,2,5,Midsize Cars,43252,GDI,Spark Ignition Direct Injection,No,43.1,7,7,6,319,236,282,-1000
2019,Honda,Honda,FIT,HNX,International,1.5,4,Manual(M6),29,36,31,37.7363,52.1043,43.0824,28.7082,35.6692,31.4721,No,Naturally Aspirated,Manual,6,N,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1250,2,2,7,Small Station Wagons,43221,GDI,Spark Ignition Direct Injection,No,43.4,7,7,3,308,249,281,-750
2019,Kia,KIA MOTORS CORPORATION,Sorento FWD,KMX,International,3.3,6,Auto(S8),19,26,22,23.8725,37.8002,28.6174,18.9801,25.7281,21.5201,No,Naturally Aspirated,Semi-Automatic,8,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1750,2,2,30,Small SUV 2WD,43132,GDI,Spark Ignition Direct Injection,No,,4,4,5,472,348,416,1750
2019,Toyota,LEXUS,NX 300,TYX,International,2,4,Auto(S6),22,28,25,28.5572,39.8814,32.7407,22.364,28.0507,24.609,No,Turbocharged,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,GPR,Gasoline (Premium Unleaded Required),1800,2,2,30,Small SUV 2WD,43254,GDPI,Spark Ignition direct & ported injection,No,,5,5,3,395,315,359,2000
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Ghost EWB,RRG,International,6.6,12,Auto(S8),12,18,14,14.1674,25.0399,17.6079,11.6311,18.2188,13.8915,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,6,Large Cars,43312,GDI,Spark Ignition Direct Injection,No,17.7,1,1,3,760,486,637,9000
2019,Hyundai,GENESIS,G70 RWD,HYX,International,3.3,6,Auto(S8),18,26,21,22.7,36.1344,27.2609,18.117,25.6308,20.8702,No,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",15,,GP,Gasoline (Premium Unleaded Recommended),2150,2,2,4,Compact Cars,43160,GDI,Spark Ignition Direct Injection,Yes,27.4,4,4,3,494,350,429,3750
2019,Nissan,NISSAN,SENTRA,NSX,International,1.8,4,Manual(M6),27,35,30,34.5,52.2,40.7121,26.5132,35,29.9942,No,Naturally Aspirated,Manual,6,N,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,5,Midsize Cars,43326,MFI,Multipoint/sequential fuel injection,No,41.4,7,7,1,333,254,297,-500
2019,Volkswagen Group of,Volkswagen,Passat,VGA,International,2,4,Auto(S6),25,36,29,32.8,53,39.5901,25.2941,36.0541,29.218,No,Turbocharged,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,5,Midsize Cars,43312,GDI,Spark Ignition Direct Injection,No,39.9,6,6,7,349,245,302,-500
2019,Kia,KIA MOTORS CORPORATION,Soul,KMX,International,1.6,4,Auto(S6),26,31,28,33.3,42.4,36.8599,26.0867,30.9049,28.0549,No,Naturally Aspirated,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1350,2,2,7,Small Station Wagons,43249,GDI,Spark Ignition Direct Injection,No,37.1,6,6,3,343,290,319,-250
2019,Subaru,Subaru,IMPREZA 5-Door,FJX,International,2,4,Auto(AV-S7),28,36,31,36.6706,53.2969,42.6591,27.9903,36.3908,31.2349,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1250,2,2,7,Small Station Wagons,43252,GDI,Spark Ignition Direct Injection,No,42.7,7,7,6,316,244,284,-750
2019,Honda,Honda,ODYSSEY FWD,HNX,International,3.5,6,Auto(S10),19,28,22,24.3059,39.3613,29.3593,19.2975,27.7172,22.3531,No,Naturally Aspirated,Semi-Automatic,10,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1750,2,2,20,"Special Purpose Vehicle, minivan 2WD",43206,GDI,Spark Ignition Direct Injection,Yes,,4,4,3,458,319,396,1750
2019,Toyota,LEXUS,NX 300 AWD,TYX,International,2,4,Auto(S6),22,28,24,28.2453,39.5381,32.411,22.1419,27.8307,24.3849,No,Turbocharged,Semi-Automatic,6,Y,N,A,All Wheel Drive,15,,GPR,Gasoline (Premium Unleaded Required),1900,2,2,31,Small SUV 4WD,43254,GDPI,Spark Ignition direct & ported injection,No,,5,5,3,399,318,363,2500
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Wraith,RRG,International,6.6,12,Auto(S8),12,18,14,14.6249,25.1204,18.0113,11.9883,18.2739,14.1837,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,5,Midsize Cars,43312,GDI,Spark Ignition Direct Injection,No,18.1,1,1,3,738,485,624,9000
2019,Hyundai,GENESIS,G70 AWD,HYX,International,2,4,Auto(S8),21,28,23,26.1966,39.1291,30.7735,20.6717,27.5681,23.2939,No,Turbocharged,Semi-Automatic,8,Y,N,A,All Wheel Drive,15,,GP,Gasoline (Premium Unleaded Recommended),1950,2,2,4,Compact Cars,43160,GDI,Spark Ignition Direct Injection,Yes,31,5,5,3,430,322,381,2750
2019,Volkswagen Group of,Volkswagen,Beetle,VGA,International,2,4,Auto(S6),26,33,29,32.3057,48.6161,38.0502,26.0181,32.9587,28.7418,No,Turbocharged,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,4,Compact Cars,43312,GDI,Spark Ignition Direct Injection,No,38.3,6,6,7,340,269,308,-500
2019,Kia,KIA MOTORS CORPORATION,Soul,KMX,International,1.6,4,Manual(M6),24,30,27,31.4,43,35.7385,24.3683,30.034,26.6288,No,Naturally Aspirated,Manual,6,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1400,2,2,7,Small Station Wagons,43235,GDI,Spark Ignition Direct Injection,No,36,6,6,3,367,296,335,0
2019,Honda,Honda,ODYSSEY FWD,HNX,International,3.5,6,Auto(S9),19,28,22,23.3996,39.7997,28.7263,18.6328,27.9984,21.9345,No,Naturally Aspirated,Semi-Automatic,9,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1750,2,2,20,"Special Purpose Vehicle, minivan 2WD",43206,GDI,Spark Ignition Direct Injection,No,,4,4,3,478,318,406,1750
2019,Toyota,LEXUS,NX 300 AWD F SPORT,TYX,International,2,4,Auto(S6),22,27,24,27.7297,37.5246,31.4204,21.7737,26.5334,23.6857,No,Turbocharged,Semi-Automatic,6,Y,N,A,All Wheel Drive,15,,GPR,Gasoline (Premium Unleaded Required),1900,2,2,31,Small SUV 4WD,43254,GDPI,Spark Ignition direct & ported injection,No,,5,5,3,407,334,374,2500
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Dawn,RRG,International,6.6,12,Auto(S8),12,18,14,14.1674,25.0399,17.6079,11.6311,18.2188,13.8915,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,4,Compact Cars,43312,GDI,Spark Ignition Direct Injection,No,17.7,1,1,3,760,486,637,9000
2019,Volkswagen Group of,Volkswagen,Beetle Convertible,VGA,International,2,4,Auto(S6),26,33,29,32.3057,48.6161,38.0502,26.0181,32.9587,28.7418,No,Turbocharged,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,3,Subcompact Cars,43312,GDI,Spark Ignition Direct Injection,No,38.3,6,6,7,340,269,308,-500
2019,Honda,Acura,TLX FWD,HNX,International,2.4,4,Auto(AM-S8),23,33,27,30.0499,47.9998,36.1299,23.421,33.1567,26.9868,No,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,N,F,"2-Wheel Drive, Front",10,,GP,Gasoline (Premium Unleaded Recommended),1650,2,2,4,Compact Cars,43153,GDI,Spark Ignition Direct Injection,No,36.4,6,6,3,380,268,330,1250
2019,Hyundai,GENESIS,G70 RWD,HYX,International,2,4,Auto(S8),22,30,25,28.0668,42.2206,33.053,22.0145,29.5409,24.8653,No,Turbocharged,Semi-Automatic,8,Y,N,R,"2-Wheel Drive, Rear",15,,GP,Gasoline (Premium Unleaded Recommended),1800,2,2,4,Compact Cars,43160,GDI,Spark Ignition Direct Injection,Yes,33.3,5,5,3,403,300,357,2000
2019,Subaru,Subaru,LEGACY,FJX,International,2.5,4,Auto(AV-S7),25,34,29,32.8086,48.7955,38.4822,25.3481,33.6473,28.5128,No,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),7,Y,N,A,All Wheel Drive,10,,G,Gasoline (Regular Unleaded Recommended),1300,2,2,5,Midsize Cars,43281,MFI,Multipoint/sequential fuel injection,No,38.5,6,6,5,350,263,311,-500
2019,Kia,KIA MOTORS CORPORATION,Soul,KMX,International,1.6,4,Auto(AM7),26,31,28,33.4,43.9,37.4285,25.7569,30.6012,27.7325,No,Turbocharged,Automated Manual,7,N,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1350,2,2,7,Small Station Wagons,43236,GDI,Spark Ignition Direct Injection,No,37.7,6,6,3,345,290,320,-250
2019,Honda,Acura,TLX FWD A-SPEC,HNX,International,2.4,4,Auto(AM-S8),23,32,26,29.5499,45.9495,35.2039,23.068,31.8845,26.3463,No,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,N,F,"2-Wheel Drive, Front",10,,GP,Gasoline (Premium Unleaded Recommended),1750,2,2,4,Compact Cars,43153,GDI,Spark Ignition Direct Injection,No,35.4,5,5,3,384,278,336,1750
2019,Hyundai,GENESIS,G70 RWD,HYX,International,2,4,Manual(M6),18,28,22,23.1,39.3,28.3608,18.4122,27.6779,21.6779,No,Turbocharged,Manual,6,N,N,R,"2-Wheel Drive, Rear",15,,GP,Gasoline (Premium Unleaded Recommended),2050,2,2,4,Compact Cars,43160,GDI,Spark Ignition Direct Injection,No,28.6,4,4,3,483,321,410,3250
2019,Nissan,NISSAN,SENTRA,NSX,International,1.8,4,Auto(AV),29,37,32,37.8112,55.7942,44.2257,28.7585,37,32.2567,No,Naturally Aspirated,Continuously Variable,1,Y,N,F,"2-Wheel Drive, Front",10,,G,Gasoline (Regular Unleaded Recommended),1200,2,2,5,Midsize Cars,43326,MFI,Multipoint/sequential fuel injection,No,44.9,7,7,7,309,240,278,-1000
2019,Kia,KIA MOTORS CORPORATION,Soul,KMX,International,2,4,Auto(S6),25,30,27,31.6763,43.1746,35.9894,24.5612,30.1442,26.7944,No,Naturally Aspirated,Semi-Automatic,6,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1400,2,2,7,Small Station Wagons,43235,GDI,Spark Ignition Direct Injection,No,36.1,6,6,5,364,297,334,0
2019,Volkswagen Group of,Audi,Q7,VGA,International,3,6,Auto(S8),19,25,21,23.5,35.2,27.6332,18.7066,25.0209,21.1032,No,Supercharged,Semi-Automatic,8,Y,N,A,All Wheel Drive,15,,GP,Gasoline (Premium Unleaded Recommended),2150,2,2,33,Standard SUV 4WD,43343,GDI,Spark Ignition Direct Injection,No,27.8,4,4,3,473,353,419,3750
2019,Rolls-Royce,Rolls-Royce Motor Cars Limited,Cullinan,RRG,International,6.7,12,Auto(S8),12,20,14,14.3,27.5,18.2398,11.7348,19.8951,14.391,Guzzler,Turbocharged,Semi-Automatic,8,Y,N,A,All Wheel Drive,10,,GP,Gasoline (Premium Unleaded Recommended),3200,2,2,8,Midsize Station Wagons,43343,GDI,Spark Ignition Direct Injection,No,18.4,1,1,3,755,445,615,9000
2019,Honda,Acura,TLX FWD,HNX,International,3.5,6,Auto(S9),20,31,24,25.0282,44.7391,31.2173,19.8245,31.128,23.6967,No,Naturally Aspirated,Semi-Automatic,9,Y,N,F,"2-Wheel Drive, Front",10,,GP,Gasoline (Premium Unleaded Recommended),1900,2,2,4,Compact Cars,43153,GDI,Spark Ignition Direct Injection,No,31.4,5,5,3,449,286,376,2500
2019,Toyota,TOYOTA,AVALON,TYX,International,3.5,6,Auto(S8),22,31,25,27.4,44.3325,33.0868,21.5376,30.873,24.9298,No,Naturally Aspirated,Semi-Automatic,8,Y,N,F,"2-Wheel Drive, Front",15,,G,Gasoline (Regular Unleaded Recommended),1550,2,2,5,Midsize Cars,43228,GDPI,Spark Ignition direct & ported injection,No,33.4,5,5,5,410,286,354,750
2019,Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe XL AWD,HYX,International,3.3,6,Auto(S6),18,24,20,22,35.1,26.4407,17.5986,24.2833,20.0869,No,Naturally Aspirated,Semi-Automatic,6,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1900,2,2,31,Small SUV 4WD,43241,GDI,Spark Ignition Direct Injection,No,,4,4,3,510,365,445,2500
2019,Kia,KIA MOTORS CORPORATION,Sportage AWD,KMX,International,2.4,4,Auto(S6),21,25,23,26.5,35.1063,29.7859,20.8906,24.9596,22.5445,No,Naturally Aspirated,Semi-Automatic,6,Y,N,A,All Wheel Drive,15,,G,Gasoline (Regular Unleaded Recommended),1650,2,2,31,Small SUV 4WD,43235,GDI,Spark Ignition Direct Injection,No,,5,5,5,427,359,397,1250
2019,Volkswagen Group of,Lamborghini,Aventador Coupe,VGA,International,6.5,12,Auto(AM-S7),9,15,11,10.7497,19.7247,13.5174,8.9597,15.0697,10.9592,Guzzler,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,N,A,All Wheel Drive,15,,GPR,Gasoline (Premium Unleaded Required),4100,2,2,1,Two Seaters,43312,MFI,Multipoint/sequential fuel injection,Yes,13.6,1,1,1,959,570,784,13500
